Nb_Ring,Ring,Earlywood,Latewood,E/L_ratio,Nb_FRing,Num_FRing,FRing,lumen_area,Equivalent_Diameter,2P_thickness,Tile_ID,Image
1,4050.1,3984.3,65.8,0.9837534876,0,1,0,117.4380881,12.22811587,0,Image_0,PB1
2,5304.3,5221.8,82.5,0.9844465811,1,2,"193,6",333.9645631,20.62078777,NA,Image_0,PB1
3,5906.6,5443,463.6,0.9215115295,2,3,"151,2",198.1767737,15.88478848,NA,Image_0,PB1
4,5370.8,5273.1,97.7,0.9818090415,2,4,"166,4",348.6443241,21.06911817,NA,Image_0,PB1
5,3697.7,3070.9,626.8,0.830489223,3,5,"240,7",35.967888,6.767254786,4.042785495,Image_0,PB1
6,3468.1,3037.6,430.5,0.8758686312,3,6,"258,4",87,10.52482021,0,Image_0,PB1
7,2736.8,2581.1,155.7,0.9431087401,2,7,"254,05",131,12.91488987,7.124355744,Image_0,PB1
8,1426.6,1325.9,100.7,0.9294125894,2,8,"122,7",22.071204,5.301125327,NA,Image_0,PB1
9,736.6,661.7,74.9,0.8983165897,1,9,"129,4",109,11.78062436,3.078405748,Image_0,PB1
10,690.7,611.1,79.6,0.8847545968,2,10,"263,5",11.716812,3.862422605,NA,Image_0,PB1
11,898.1,848,50.1,0.9442155662,3,11,"423,3",76,9.836981519,NA,Image_0,PB1
12,788.9,596.8,192.1,0.7564963874,2,12,"339,8",43.052472,7.403790235,7.5151E-01,Image_0,PB1
,,,,,,13,"227,6",53.679348,8.267204401,0,Image_0,PB1
,,,,,,14,"235,8",38.692728,7.018910983,8.82603E-01,Image_0,PB1
,,,,,,15,"251,5",66.486096,9.200691637,0,Image_0,PB1
,,,,,,16,"109,3",178,15.05445578,0,Image_0,PB1
,,,,,,17,"135,8",58.71904405,8.646583656,5.600877165,Image_0,PB1
,,,,,,18,"191,7",17.71146,4.748782082,0,Image_0,PB1
,,,,,,19,"205,4",168,14.62546558,0,Image_0,PB1
,,,,,,20,134,44.95986,7.566020862,3.64703E-01,Image_0,PB1
,,,,,,21,80,124.525188,12.59167954,0,Image_0,PB1
,,,,,,22,94,171,14.75547228,0,Image_0,PB1
,,,,,,23,"57,5",228,17.03815178,0,Image_0,PB1
,,,,,,,,218,16.66031875,3.908288275,Image_0,PB1
,,,,,,,,22.343688,5.333747945,12.18486744,Image_0,PB1
,,,,,,,,19.07388,4.928044063,11.76035858,Image_0,PB1
,,,,,,,,28.61082,6.035596692,0,Image_0,PB1
,,,,,,,,91.74850633,10.80822957,NA,Image_1,PB1
,,,,,,,,278.9154593,18.84479218,0,Image_1,PB1
,,,,,,,,348.6443241,21.06911817,0,Image_1,PB1
,,,,,,,,165.1473114,14.50076162,NA,Image_1,PB1
,,,,,,,,30.245724,6.205646772,0,Image_1,PB1
,,,,,,,,94,10.94004192,4.861834139,Image_1,PB1
,,,,,,,,26.703432,5.83094037,2.295087475,Image_1,PB1
,,,,,,,,2,1.595769122,1.845989911,Image_1,PB1
,,,,,,,,256,18.05406667,0,Image_1,PB1
,,,,,,,,31,6.282549314,NA,Image_1,PB1
,,,,,,,,49,7.89865417,4.264539758,Image_1,PB1
,,,,,,,,66.75858,9.219526235,3.399359118,Image_1,PB1
,,,,,,,,48.774636,7.880469233,7.32926E-01,Image_1,PB1
,,,,,,,,224,16.88803298,5.398966008,Image_1,PB1
,,,,,,,,37.330308,6.894231238,5.011819421,Image_1,PB1
,,,,,,,,14.67976101,4.323291828,4.572476839,Image_1,PB1
,,,,,,,,93,10.88169461,0,Image_1,PB1
,,,,,,,,16.894008,4.637900285,9.65132E-01,Image_1,PB1
,,,,,,,,66,9.166995688,3.162769221,Image_1,PB1
,,,,,,,,201,15.9975357,0,Image_1,PB1
,,,,,,,,53.13438,8.225131841,5.312101457,Image_1,PB1
,,,,,,,,148,13.72732504,1.955835777,Image_1,PB1
,,,,,,,,57.766608,8.576172204,0,Image_1,PB1
,,,,,,,,341,20.8368588,0,Image_1,PB1
,,,,,,,,134,13.0619332,0,Image_1,PB1
,,,,,,,,88,10.58513486,0,Image_1,PB1
,,,,,,,,267,18.43786751,0,Image_1,PB1
,,,,,,,,132,12.96408963,4.31925E-02,Image_1,PB1
,,,,,,,,71.663292,9.552200651,0,Image_1,PB1
,,,,,,,,69,9.373021316,0,Image_1,PB1
,,,,,,,,130,12.86550197,0,Image_1,PB1
,,,,,,,,149,13.77362306,0,Image_1,PB1
,,,,,,,,107,11.67204486,0,Image_1,PB1
,,,,,,,,344.9743838,20.95793471,NA,Image_2,PB1
,,,,,,,,140,13.35116236,8.56558E-01,Image_2,PB1
,,,,,,,,65.668644,9.143955074,0,Image_2,PB1
,,,,,,,,94,10.94004192,0,Image_2,PB1
,,,,,,,,135,13.11058117,0,Image_2,PB1
,,,,,,,,348.6443241,21.06911817,4.399730551,Image_2,PB1
,,,,,,,,47.412216,7.769627296,0,Image_2,PB1
,,,,,,,,108,11.72646029,0,Image_2,PB1
,,,,,,,,168,14.62546558,0,Image_2,PB1
,,,,,,,,68.393484,9.331735553,5.517913519,Image_2,PB1
,,,,,,,,139,13.30339418,5.174057563,Image_2,PB1
,,,,,,,,44.142408,7.496923333,0,Image_2,PB1
,,,,,,,,230,17.11271736,0,Image_2,PB1
,,,,,,,,245,17.66192765,0,Image_2,PB1
,,,,,,,,12,3.908820095,0,Image_2,PB1
,,,,,,,,197,15.83755632,0,Image_2,PB1
,,,,,,,,119.89296,12.35526033,0,Image_2,PB1
,,,,,,,,54.769284,8.350713636,4.023728136,Image_2,PB1
,,,,,,,,34.877952,6.663931852,5.11281361,Image_2,PB1
,,,,,,,,172,14.79855404,0,Image_2,PB1
,,,,,,,,109,11.78062436,0,Image_2,PB1
,,,,,,,,296,19.41336924,0,Image_2,PB1
,,,,,,,,289.92528,19.21312914,0,Image_2,PB1
,,,,,,,,337.6345033,20.73377923,0,Image_2,PB1
,,,,,,,,54.224316,8.309063931,4.159573423,Image_2,PB1
,,,,,,,,42.779988,7.380323329,4.168773485,Image_2,PB1
,,,,,,,,49.592088,7.946232286,1.909798867,Image_2,PB1
,,,,,,,,48,7.81764019,NA,Image_2,PB1
,,,,,,,,27.2484,5.890139252,9.397344128,Image_2,PB1
,,,,,,,,42.779988,7.380323329,0,Image_2,PB1
,,,,,,,,112,11.94164264,0,Image_3,PB1
,,,,,,,,41.690052,7.285699886,8.39428E-01,Image_3,PB1
,,,,,,,,43.869924,7.473748863,2.364827959,Image_3,PB1
,,,,,,,,66.486096,9.200691637,4.71907E-01,Image_3,PB1
,,,,,,,,47.139732,7.74726861,8.42218E-01,Image_3,PB1
,,,,,,,,71.118324,9.515811183,0,Image_3,PB1
,,,,,,,,268,18.47236309,0,Image_3,PB1
,,,,,,,,154,14.00281721,0,Image_3,PB1
,,,,,,,,34.605468,6.637849827,2.234639614,Image_3,PB1
,,,,,,,,117.713088,12.24242454,0,Image_3,PB1
,,,,,,,,180,15.13879513,0,Image_3,PB1
,,,,,,,,54.4968,8.329914815,0,Image_3,PB1
,,,,,,,,34.877952,6.663931852,0,Image_3,PB1
,,,,,,,,173,14.84151075,0,Image_3,PB1
,,,,,,,,62.126352,8.893915231,0,Image_3,PB1
