Tile_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter,Corrected_CX,Corrected_CY,File_ID,Order,2p_Thickness
Image_0,143,358.5,187.5,4,2.256758334191025,358.2156862745098,187.62745098039215,30,0,0.07219190207312745
Image_0,42,374.5,188.5,4,2.256758334191025,374.5,188.5,30,2,0.0
Image_0,43,382.1538461538461,190.0,13,4.068428945128219,382.0952380952381,190.0,30,4,0.09774436090225436
Image_0,43,382.1538461538461,190.0,13,4.068428945128219,382.1929824561403,190.0,30,5,37.16895508873381
Image_0,45,423.8888888888889,189.66666666666663,9,3.385137501286538,423.36036036036035,189.63963963963963,30,6,0.0874858840387091
Image_0,163,495.9072164948454,196.2989690721649,97,11.11324596323283,495.88125,196.31666666666666,30,8,0.05517549718832092
Image_0,53,535.6269841269841,196.47619047619048,126,12.666024736934256,535.609250398724,196.48963317384369,30,10,0.03783374834256593
Image_0,74,579.258064516129,180.0,62,8.884866446580956,579.2214912280701,179.94736842105263,30,12,0.16170684866822854
Image_0,74,579.258064516129,180.0,62,8.884866446580956,579.3090277777777,180.08333333333334,30,13,4.36792431689085
Image_0,200,591.65,179.5,60,8.740387444736633,591.6529209621992,179.31271477663228,30,14,0.12391362118770274
Image_0,200,591.65,179.5,60,8.740387444736633,591.7571743929359,179.37969094922735,30,15,3.2103296041292246
Image_0,72,603.0,179.98529411764707,68,9.304852983362556,602.9501557632399,180.0031152647975,30,16,0.08985212415354221
Image_0,5,628.0645161290323,180.0483870967742,62,8.884866446580956,628.0385964912281,180.02807017543856,30,18,0.056442064725153174
Image_0,5,628.0645161290323,180.0483870967742,62,8.884866446580956,628.0827886710239,180.0631808278867,30,19,
Image_1,320,221.64150943396223,490.3459119496856,159,14.228319915327,221.95862884160755,489.9751773049645,32,0,0.17161476029596096
Image_1,320,221.64150943396223,490.3459119496856,159,14.228319915327,222.11485319516407,489.9041450777202,32,1,16.864394413507075
