Image_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter
Image_0,214,633.6837209302325,223.0046511627907,215,16.545286401814263
Image_0,176,633.1148936170213,198.93191489361703,235,17.297725082009
Image_0,221,632.0882352941177,322.02941176470586,204,16.11647812414279
Image_0,25,631.4967741935484,528.1354838709677,155,14.048207338801282
Image_0,166,629.7513812154696,172.55248618784532,362,21.468877828012552
Image_0,216,629.5,290.7094594594595,148,13.727325035155395
Image_0,16,627.7377777777778,505.6177777777778,225,16.925687506432688
Image_0,215,627.222972972973,266.5945945945946,148,13.727325035155395
Image_0,21,623.7372549019608,480.6078431372549,255,18.01877032173579
Image_0,26,620.9270833333334,454.9375,192,15.635280380893438
Image_0,184,620.3897435897436,66.41794871794872,390,22.283703068536735
Image_0,473,619.2787878787879,95.56969696969696,495,25.104851615652017
Image_0,482,618.4875,68.8525,400,22.56758334191025
Image_0,488,617.2051282051282,403.95726495726495,234,17.26088217525478
Image_0,487,616.9068965517241,614.696551724138,290,19.21560480373171
Image_0,474,616.5589225589225,23.464646464646464,297,19.44613444328572
Image_0,485,614.7697160883281,374.7665615141956,317,20.090219901261573
Image_0,44,611.9950617283951,560.2444444444444,405,22.708192698181442
Image_0,497,611.3857142857142,346.23333333333335,210,16.351767622932517
Image_0,30,608.4984326018808,530.8401253918495,319,20.153496341094687
Image_0,200,606.1857585139319,318.76160990712077,323,20.279456919490165
Image_0,23,605.7809523809524,502.5968253968254,315,20.026743534373637
Image_0,187,605.5277777777778,203.56944444444446,216,16.583719174624104
Image_0,202,604.4372759856631,288.03225806451616,279,18.847647942942654
Image_0,207,601.7272727272727,262.7590909090909,220,16.73656774376801
Image_0,10,601.3032407407408,472.4375,432,23.452920571340155
Image_0,4,600.8519637462235,443.214501510574,331,20.529059630371258
Image_0,198,599.6651785714286,238.60714285714286,224,16.88803298257901
Image_0,234,598.2831858407079,410.97566371681415,452,23.98967015655475
Image_0,218,597.6174242424242,214.5151515151515,264,18.333991376950163
Image_0,205,596.32,188.67555555555555,225,16.925687506432688
Image_0,182,595.4262295081967,163.50819672131146,305,19.706294962377495
Image_0,233,589.375,378.9596153846154,520,25.731003930322746
Image_0,156,587.660606060606,109.6969696969697,330,20.49802550887777
